id,username,post,ticker
38,Анатолий Полубояринов,"Сбер рост целевой ценыНа следующей неделе Сбер опубликует РСБУ за 1-ое полугодие, поэтому самое время начать обновлять прогнозы, сверять часы и тд.Авто-репост. Читать в блоге>>>",SBER
39,1SV,"… а также возможности спасения в Царстве Божием ...Taganrog,Ибо вот, Царствие Божие внутрь вас есть« (Лк. 17:20-21)Труслив тот, кто на вопрос не отвечает. Я не против диалога, если он по теме.",SBER
40,Дмитрий Первый,"1SV, В христианстве белая Адамова голова на черном фоне служит олицетворением бесстрашия и презрения к смерти, а также возможности спасения ...Taganrog, да что ты отвечаешь ублюдку, он же конченый. Давно в ЧС)))",SBER
41,Taganrog,"Taganrog, Так у людей и аватарки человеческие. И на вопросы они отвечают.1SV, В христианстве белая Адамова голова на черном фоне служит олицетворением бесстрашия и презрения к смерти, а также возможности спасения в Царстве Божием. Особо почитаемым данный символ был в христианской Руси. Во время сражений в авангарде русского войска всегда шли черносотенцы. Черные сотни комплектовались из монахов – воинов. Презирая смерть, они не облачались в доспехи. В черных одеждах под черными знаменами, украшенными серебряной вышивкой черепа и скрещенных костей и девизом, взятым из молитвы, они шли в бой. Таким образом они демонстрировали превосходство духа над оружием.",SBER
42,Taganrog,"Мой аватар/,-символ христианства. Это самый почитаемый верующими символ, который обязательно должен присутствовать в жизни человека-на вещах, в домах/, везде! У меня он-аватар. Ты понял?П.С. С роботами переписываться мне вера не позволяет. Разве, что чуть-чуть… Так, что прости.",SBER
43,1SV,"1SV, ты робот. У людей таких имён нет.Taganrog, Так у людей и аватарки человеческие.И на вопросы они отвечают.",SBER
44,Taganrog,"Taganrog, А что не бред?.. Есть конструктивнее изложение, желательно по теме?1SV, ты робот. У людей таких имён нет.",SBER
45,Алексей Мамаев,а таганыч будет орать на всю ветку «какого уя! сбер сила!»))),SBER
46,Алексей Мамаев,скоро шортистов почти не останется… всех почти выгнали. и начнется крутое пике))) это уже глобальное мнение,SBER
47,Taganrog,"Карим Тактуров, пшол в чс со своими несуразными текстами.",SBER
48,1SV,"1SV, Ты кто, воин? Твоя точка зрения совпала с фундаментальным законом физики. Я горд, что читаю твой бред на форуме!Taganrog, А что не бред?.. Есть конструктивнее изложение, желательно по теме?",SBER
49,Коммунизму быть!,"1SV, какой срок?С.В., как родит сообщит",SBER
50,Коммунизму быть!,"Тимофей Мартынов, когда на ветке порядок наведут?С.В., согласен, Сталина на вас нет!",SBER
51,Алексей Мамаев,"1SV, Ты кто, воин? Твоя точка зрения совпала с фундаментальным законом физики. Я горд, что читаю твой бред на форуме!Taganrog, флуд пришел.",SBER
52,Taganrog,"С.В., По времени тут другой специалист был. Я не знаю.С моей точки зрения, время — скалярная величина. Исхожу из цены и общего направления...1SV, Ты кто, воин? Твоя точка зрения совпала с фундаментальным законом физики. Я горд, что читаю твой бред на форуме!",SBER
53,Алексей Мамаев,скоро начнется падение до конца дня…,SBER
54,С.В.,"AntiTrader, да слабоват чет сбер в моментев понедельник дернули, думал — ВОТ ОНО, НАЧАЛОСЬАН нет:(Тимофей Мартынов, когда на ветке порядок наведут?",SBER
55,Карим Тактуров,"Мнение по Российскому рынку:$SMLT «Самолет» после объявления байбэка пока сильно не взлетает, поскольку сам байбэк ещё не начат. Однако до конца года менеджмент должен осуществить задуманное. Акции, по нашему мнению, по-прежнему дешевы, особенно с учетом начала раскрытия счетов-эскроу и роста денежного потока.Лучший телеграм с прибылными сигналами👇t.me/+zKWzSLivmAk4MDIy$BELU «Белуга» пока находится в «боковике» после всех основных событий, о чем мы предупреждали ранее. Здесь нужно ждать раскрытия операционных показателей за 2 кв. и далее уже полугодового отчета, после чего рассчитывать полугодовой дивиденд.$PLZL «Полюс» после отмены дивиденда так и не скорректировался, а даже наоборот подрос. Деньги из компании не уходят, поэтому ничего страшного нет. Компания может либо заплатить уже за первое полугодие, либо придумать что-то типа байбэка. Так или иначе, в «Полюсе» дивиденды не являются основным драйвером, это больше экспозиция на само золото в рублях, которое сейчас на исторических максимумах.Авто-репост. Читать в блоге>>>",SBER
56,Тимофей Мартынов,"Сбер. Краткосрочно жду вверх.05 июля. Промежуточные итоги недели.Факты.За два неполных дня итоги такие.Сбер акции купили 2200мр, продали ...AntiTrader, да слабоват чет сбер в моментев понедельник дернули, думал — ВОТ ОНО, НАЧАЛОСЬАН нет:(",SBER
57,AntiTrader,"Сбер. Краткосрочно жду вверх.05 июля. Промежуточные итоги недели.Факты.За два неполных дня итоги такие.Сбер акции купили 2200мр, продали 2000мр. Высоту 244 взяли. Фьючерсы купили 1100мр, продали 900мр.ГП продали акции 300мр, фьючерсы продали 50мр.Интерпретация.Вся Игра в валюте. Под конец квартала подняли валюту вверх (Пригожин практически никак не повлиял на рынок).Очевидно, что дальше будет укрепление рубля (мой прогноз — до 84, срок неделя).Но начали играть Избушки. Первые дни нового квартала курс валют держат.Казначейство забирает у банков ранее выданные деньги под конец квартала для отрисовки балансов банков через переоценку ОВП (валюты). Сегодня забирают 342 млрд. рублей, завтра еще 400.К вечеру и завтра рубль укрепится. ИМХО. Возможны выкрутасы Избушек (типа снять хай 91), но это Игра на часы.Прогноз. Сбер день будет стоять, далее вверх 248.Подробности — Телеграм, t.me/sberanalizАвто-репост. Читать в блоге>>>",SBER
58,1SV,"С.В., Я в России-матушке живу, тут больше года заглядывать проблематично. А с учетом внешних событий — полгода уже наверное.1SV, Скажем так, если за лето-осень какой движ (уже куда-то) будет, то хорошо.Мой максимум, по акциям РФ, это среднесрок. Оперирую этим.",SBER
59,Созерцатель,"А вообще, похоже, я себе новое хобби нашел. Буду собирать «прогнозы». Никто не знает, как этот вид коллекционирования называется?С.В., Ну Начальником Аналитического отдела заделаться что ли хочешь? У вас там все нормальные образы разобрали?, а чего, современненько!",SBER
60,1SV,"1SV, через 5 лет 270-280 ни о чём… Или речь не про годы всё-таки?С.В., Я в России-матушке живу, тут больше года заглядывать проблематично.А с учетом внешних событий — полгода уже наверное.",SBER
61,Созерцатель,"Созерцатель, хорошо, что я сейчас один в кабинете…С.В., А Врач когда придёт? Отлучился что ли?",SBER
62,С.В.,"А вообще, похоже, я себе новое хобби нашел. Буду собирать «прогнозы». Никто не знает, как этот вид коллекционирования называется?",SBER
63,С.В.,"1SV, тогда готовь бабки или убирай пост, С.В. парень серьёзный, бывалый, ему конкретика нужна., а если не оправдается, то будешь должен емут...Созерцатель, хорошо, что я сейчас один в кабинете…",SBER
64,Созерцатель,"С.В., По времени тут другой специалист был. Я не знаю.С моей точки зрения, время — скалярная величина. Исхожу из цены и общего направления...1SV, тогда готовь бабки или убирай пост, С.В. парень серьёзный, бывалый, ему конкретика нужна., а если не оправдается, то будешь должен емутут теперь такие порядки… он устанавливает.",SBER
65,С.В.,"С.В., По времени тут другой специалист был. Я не знаю.С моей точки время — скалярная величина. Исхожу из цены и общего направления.1SV, через 5 лет 270-280 ни о чём… Или речь не про годы всё-таки?",SBER
66,1SV,"1SV, какой срок?С.В., По времени тут другой специалист был. Я не знаю.С моей точки зрения, время — скалярная величина. Исхожу из цены и общего направления.",SBER
67,Созерцатель,"блин Косогормз ещё вчера смотрел… надо было братьигорь баженов, так ещё не поздно шлаки и больше летают.",SBER
68,игорь баженов,блин Косогормз ещё вчера смотрел… надо было брать,SBER
69,Созерцатель,,SBER
70,С.В.,"270-280 р....1SV, какой срок?",SBER
71,1SV,"Мужики про триста говорят. У нас ничего такого на Руси отродясь не было. Перестаньте.Вообще, имеет смысл посмотреть на динамику чистой прибыли (она как-то не туда идёт, последние месяцы).На мой взгляд, сейчас основных риска два, для Сбера:—СНГблокировка (но это, скорее возможность, со временем, при верном руководстве. Посмотрим.)— Ипотечный рынок и в целом кредитование, с учётом будущегоповышения ставки.Полагаю, всё это как-то будет отражено в котировках, ещё до обнародования. Поглядим. В любом случае, при относительно небольшом потенциале роста, потенциал коррекции всё более очевиден.270-280 р., как варианты, чего-то выше, пока, не жду.",SBER
72,Созерцатель,"Сырьё зелёное всё, вверх пошло…",SBER
73,игорь баженов,"игорь баженов, после НГ, в 2023г. его уже брал?Созерцатель, точно не помню, просто ставлю линию где брал 41.97 средняя.., хорошо что взял, а не оставил деньги на вкладе..",SBER
74,Созерцатель,"Флот 112%+дивы 4% вчера, мама мия… вот это забота об инвесторах..игорь баженов, после НГ, в 2023г. его уже брал?",SBER
75,игорь баженов,"Флот 112%+дивы 4% вчера, мама мия..вот это забота об инвесторах..",SBER
76,С.В.,"С.В., в ветке доллар/рубль есть человек Lucky999, вот он вроде готов тебе дать гарантии которые ты требуешь.Созерцатель, еще раз: мне гарантии не нужны — я играю на ФР не ориентируясь на какие-то цены, а сравнивая несколько акций между собой, меняя их в определенные моменты (пофиг на то, сколько они стоят). Я хочу, чтобы все те, кто делает прогнозы, несли ответственность за них.",SBER
77,С.В.,"С.В., «Ну да, это тебе на Элла Райс перед сном требушить»©Созерцатель, «ничего непонятно, но очень интересно» ©",SBER
78,Созерцатель,"Где-то в лесу сдохли волки… (мало, кто поймет, конечно, к чему я это написал).С.В., «Ну да, это тебе на Элла Райс перед сном требушить»©",SBER
79,Созерцатель,"Созерцатель, ты мошенников рекомендуешь? На пару работаете? 27%Коммунизму быть!, почему же мошенники, просто всё за тебя будут делать...«а вы что и есть за меня будете?»©",SBER
80,Созерцатель,"Созерцатель, чего хотел этим сказать то? Прости, но я ни черта не понял, к какому месту этот рисунок нужно приложить.Я ни одному прогнозу...С.В., в ветке доллар/рубль есть человек Lucky999, вот он вроде готов тебе дать гарантии которые ты требуешь.",SBER
81,С.В.,"Где-то в лесу сдохли волки…(мало, кто поймет, конечно, к чему я это написал).",SBER
82,Созерцатель,"С.В., Полностью согласен, нефиг словоблудиями заниматься. Если есть что сказать — должна быть конкретика. Если даешь прогноз — уровень и дат...Коммунизму быть!, и в случае ошибки восполнять твою позицию утерянную? верно?",SBER
83,Коммунизму быть!,"Дюша Метелкин, чтобы НЕСТИ ОТВЕТСТВЕННОСТЬ за свои слова.С.В., Полностью согласен, нефиг словоблудиями заниматься. Если есть что сказать — должна быть конкретика. Если даешь прогноз — уровень и дату говори.",SBER
84,С.В.,"С.В., где-то я уже это виделСозерцатель, чего хотел этим сказать то? Прости, но я ни черта не понял, к какому месту этот рисунок нужно приложить.Я ни одному прогнозу здесь не верю. Всё, что делаю, — это пытаюсь уберечь других от того, чтобы они потом, как один из участников этого форума, не ныли, что их кто-то обманул.",SBER
85,С.В.,"С.В., да с какого перепугу то?!Дюша Метелкин, чтобы НЕСТИ ОТВЕТСТВЕННОСТЬ за свои слова. Или Вы всегда готовы принять ложь как данность?",SBER
86,Созерцатель,"Уважаемый Владимир Владимирович!Пожалуйста объявите небольшую спецоперацию, чтобы бедные инвесторы могли закупиться.А назавтра скажите, ...Вася Астанков, Это полномочия Писькова, соблюдайте субординацию!",SBER
87,Вася Астанков,"Уважаемый Владимир Владимирович!Пожалуйста объявите небольшую спецоперацию, чтобы бедные инвесторы могли закупиться.А назавтра скажите, что это была шутка.",SBER
88,Дюша Метелкин,"Дюша Метелкин, пусть отвечают за свои прогнозы кому-угодно. «Мне» — это утрировано. Могут разницу в какой-нибудь фонд перечислить.Готов кт...С.В., да с какого перепугу то?!",SBER
89,Созерцатель,"Дюша Метелкин, а что я должен понять? По какой причине я должен верить людям, если они не могут гарантировать свои прогнозы своими деньгами?...С.В., где-то я уже это видел.Значится подавайте верный прогноз и хеджируйте убытки в случае чего из совего кармана… Тут и Мойша недуром твой пост лайкнул",SBER
90,С.В.,"С.В., вы берега то не попутали?С какого перепугу вам кто-то за что-то должен отвечать? Тем более деньгами?И как этот пассаж коррелирует со...Дюша Метелкин, пусть отвечают за свои прогнозы кому-угодно. «Мне» — это утрировано. Могут разницу в какой-нибудь фонд перечислить.Готов кто-то прямо сейчас написать прогноз по цене Сбера на конкретную дату, указав количество лот для прогноза? И если цена будет отличаться в худшую сторону, разницу перечислить в какой-нибудь фонд, выложив здесь квитанцию о перечислении денег?",SBER
91,Созерцатель,"Обстановка у Запорожской атомной электростанции достаточно напряженная, велика угроза диверсии со стороны Украины. Об этом заявил пресс-секр...Петров, ну всё опять за старое взялся Письков, знатно он Российский рынок умеет ронять, в который раз.",SBER
92,Алексей Мамаев,"Алексей Мамаев, ну это вроде неплохо?Созерцатель, посмотрим)",SBER
93,Созерцатель,"Созерцатель, звоночек читал сегодня про вал. рынок?Алексей Мамаев, ну это вроде неплохо?",SBER
94,Петров,"Обстановка у Запорожской атомной электростанции достаточно напряженная, велика угроза диверсии со стороны Украины. Об этом заявил пресс-секретарь президента России Дмитрий Песков на брифинге, передает корреспондент РБК.",SBER
95,Дюша Метелкин,"Дюша Метелкин, а что я должен понять? По какой причине я должен верить людям, если они не могут гарантировать свои прогнозы своими деньгами?...С.В., вы берега то не попутали?С какого перепугу вам кто-то за что-то должен отвечать? Тем более деньгами?И как этот пассаж коррелирует со всем сказанным вами раньше?",SBER
96,Коммунизму быть!,"Дюша Метелкин, а что я должен понять? По какой причине я должен верить людям, если они не могут гарантировать свои прогнозы своими деньгами?...С.В., вот молодец! Горжусь тобой!",SBER
97,Алексей Мамаев,"Алексей Мамаев, нет а что там? скажи вкратцеСозерцатель,tass.ru/ekonomika/18196045",SBER
98,Созерцатель,"Созерцатель, звоночек читал сегодня про вал. рынок?Алексей Мамаев, нет а что там? скажи вкратце",SBER
99,С.В.,"С.В., мне кажется, мы на разных языках говорим.Вы даже не пытаетесь понять, что вам говорят, софистикой какой-то жонглируетеДюша Метелкин, а что я должен понять? По какой причине я должен верить людям, если они не могут гарантировать свои прогнозы своими деньгами?Мне «обещают» 300 рублей. Спрашиваю — какой срок! Ответа нет. 300 рублей «завтра» и 300 рублей через 5 лет — это разные 300 рублей.Если я сейчас куплю с плечами Сбер, а 300 рублей не будет, готов здесь кто-нибудь заплатить мне своими деньгами эту «ошибку»? Боюсь, что никто на это не пойдет. Тогда засуньте свои прогнозы в свои задницы.",SBER
100,Алексей Мамаев,"Алексей Мамаев, ну я такое не прогнозирую. просто уточнил, может зря веселишься от этого) не закроешь же позу при таком стечении обстоятельс...Созерцатель, звоночек читал сегодня про вал. рынок?",SBER
101,Дюша Метелкин,"Дюша Метелкин,«если — то», «иначе — то». При указании одной цены в 300 рублей и не указании другой, есть только два варианта: или 300 или ...С.В., мне кажется, мы на разных языках говорим.Вы даже не пытаетесь понять, что вам говорят, софистикой какой-то жонглируете",SBER
102,С.В.,"С.В., почему же «равно»?Вероятности, такие вероятности…Дюша Метелкин,«если — то», «иначе — то». При указании одной цены в 300 рублей и не указании другой, есть только два варианта: или 300 или не 300. Вероятности равны.",SBER
103,Созерцатель,"Созерцатель, а ты?)Алексей Мамаев, ну я такое не прогнозирую. просто уточнил, может зря веселишься от этого) не закроешь же позу при таком стечении обстоятельств",SBER
104,Дюша Метелкин,"Дюша Метелкин, слово «если» говорит о том, что РАВНО ВОЗМОЖЕН и другой вариант. А значит, можно ждать и другой цены. Фантазии по ценам дальш...С.В., почему же «равно»?Вероятности, такие вероятности…",SBER
105,Алексей Мамаев,"Алексей Мамаев, а как ты шорты тогда откупишь?Созерцатель, а ты?)",SBER
106,Созерцатель,"Алексей Мамаев, а потом этоАлексей Мамаев, а как ты шорты тогда откупишь?",SBER
107,С.В.,"С.В., если рубль не развернется, то месяца через 1.5-2 а то и раньше…Дюша Метелкин, слово «если» говорит о том, что РАВНО ВОЗМОЖЕН и другой вариант. А значит, можно ждать и другой цены. Фантазии по ценам дальше будут?",SBER
108,Алексей Мамаев,"скоро стоп торги)Алексей Мамаев, а потом это",SBER
109,Дюша Метелкин,"Петров, когда ожидаете 300?С.В., если рубль не развернется, то месяца через 1.5-2 а то и раньше…",SBER
110,Алексей Мамаев,скоро стоп торги),SBER
111,Виктор Вебер,"Константин, Шортить Сбером сейчас вообще бессмысленно. Хорошие дивиденды, прекрасная отчетность. Я нацелился на 300Петров, Верно. Видимо никто из вечных шортунов не смотрит на отчётность, не изучают цифр. И таких очень много, если не большинство.",SBER
112,С.В.,"Константин, Шортить Сбером сейчас вообще бессмысленно. Хорошие дивиденды, прекрасная отчетность. Я нацелился на 300Петров, когда ожидаете 300?",SBER
113,Петров,"Anton Palyhc, не торгую сбер пока. его только глазами смотреть без стопов и торговать только от горизонтальных уровней без фибы и тд.боюсь...Константин, Шортить Сбером сейчас вообще бессмысленно. Хорошие дивиденды, прекрасная отчетность. Я нацелился на 300",SBER
114,Anton Palyhc,"Anton Palyhc, не торгую сбер пока. его только глазами смотреть без стопов и торговать только от горизонтальных уровней без фибы и тд.боюсь...Константин, согласен полностью, но техника вроде пока работает на нем",SBER
115,Алексей Мамаев,"скоро дристанет конкретноАлексей Мамаев, ахаха)",SBER
116,Константин,"Константин, пока всё за шорт побери, 239 думаю увидимAnton Palyhc, не торгую сбер пока. его только глазами смотреть без стопов и торговать только от горизонтальных уровней без фибы и тд.боюсь его шортить, т.к. он один из инструментов для задерга индекса в нужный момент куклом.",SBER
117,Созерцатель,"На индексе натуральный ВульфКонстантин, ага рублик девальвируется, доходы всех уровней бюджетов растут, компаний растут, бакс зеленее и зеленее ещё чуть-чуть и прямо в рай",SBER
118,Anton Palyhc,"Сбер чё то опять закусило, могу и не дать пролить конечно",SBER
119,Anton Palyhc,"На индексе натуральный ВульфКонстантин, пока всё за шорт побери, 239 думаю увидим",SBER
120,Константин,На индексе натуральный Вульф,SBER
121,Александр Иванов,"Александр Иванов, интересно, пробьем сопротивление и пойдем вверх или до 239 будем падатьocean drive, Пока не понятно, болтаемся в боковике. Сам жду когда вероятность перевесит в какую-нибудь из сторон…",SBER
122,Алексей Мамаев,скоро дристанет конкретно,SBER
123,ocean drive,"Петров, Сильные сопротивления сверху давятАлександр Иванов, интересно, пробьем сопротивление и пойдем вверх или до 239 будем падать",SBER
124,Александр Иванов,"Александр Иванов, Почему?Петров, Сильные сопротивления сверху давят",SBER
125,ocean drive,"88 копеек-диапазон торгов!?Заходи не бойся...Выходи-не плачь!не бык, да сегодня какая-то жесть… торговать не дают!",SBER
126,не бык,88 копеек-диапазон торгов!?Заходи не бойся...Выходи-не плачь!,SBER
127,ocean drive,"ocean drive, так ни-ни, не-ни или ни-не?Paulmarko, lol не не",SBER
128,Paulmarko,"ни растем ни падает… полное зависание Сбераocean drive, так ни-ни, не-ни или ни-не?",SBER
129,Петров,"Покупать Сбер сейчас однозначно рискованноАлександр Иванов, Почему?",SBER
130,Александр Иванов,Покупать Сбер сейчас однозначно рискованно,SBER
131,Александр Иванов,"ocean drive, На Лук переключайтесь, там движухаPP PP, Лукойл покупать опасно, 5300 может откатить",SBER
132,ocean drive,ни растем ни падает… полное зависание Сбера,SBER
133,Sergei,"Ну и где эта диверсия на АЭС??? Опять обломПетров, опять обещали но не женились?)",SBER
134,Алексей Мамаев,ВАЛИМ В ПОЛ!,SBER
135,не бык,"Всем, Доброго Дня!Ощущение, могу заблуждатьсяТоргуем: прилетит-не прилетит;-взорвут-не взорвут!Пока так!",SBER
136,Дмитрий Соколов,"23500 не загорами, 1000 пунктов без малогоAnton Palyhc,",SBER
137,не бык,"Ну и где эта диверсия на АЭС??? Опять обломПетров,Саммит впереди...Куда торопиться!?",SBER
138,Anton Palyhc,"23500 не загорами, 1000 пунктов без малого",SBER
139,Anton Palyhc,"Anton Palyhc, Дата истечения только на открытие сделки.Дмитрий Шабалов, не дошла цена до входа, но перспективы падения до обозначенных целей сохраняются. По битку есть мысли? 32000 увидим не увидим?",SBER
140,Diamond,"Петров, пшел нахер с политикойАлексей Мамаев, предупреждение. Смартлаб против хамства.",SBER
141,Kopa Del Toro,"Kopa Del Toro, из башки дерьмо выкинь, хомякам туалет впаривали 3 месяцаАлексей Мамаев, продали? Зачем хомякам туалет? Они же в банку ходят. У тебя был/есть хомяк?",SBER
142,Алексей Мамаев,споки.,SBER
143,Алексей Мамаев,"Петров, В ночь сегодня все ждут диверсию Украины на ЗаАЭС(Сергей, я не все.",SBER
144,ocean drive,"Сергей, Значит с утреца будем брать на всю котлетуПетров, ку-ку… если новости публчные… то уже заложены в цене",SBER
145,Петров,"Петров, В ночь сегодня все ждут диверсию Украины на ЗаАЭС(Сергей, Значит с утреца будем брать на всю котлету",SBER
146,ocean drive,Все хочу Достоевского 'Бедные Люди' перечитать… может понятней будет почему они сейчас бедные :),SBER
147,Сергей,"Алексей Мамаев, Ссыкуны сливать началиПетров, В ночь сегодня все ждут диверсию Украины на ЗаАЭС(",SBER
148,Петров,"Петров, ты просто не в курсе чувак)Алексей Мамаев,",SBER
149,Алексей Мамаев,"Алексей Мамаев, Ссыкуны сливать началиПетров, ты просто не в курсе чувак)",SBER
150,Петров,"Петров, пшел нахер с политикойАлексей Мамаев, Ссыкуны сливать начали",SBER
151,ocean drive,"Никитос, охирел чтоли)Алексей Мамаев, 245 имели ввиду?",SBER
152,Никитос,"ну что, завтра до 45",SBER
153,Kopa Del Toro,"Kopa Del Toro, мудрое решение)Алексей Мамаев, сегодня крупняк индекс шортиков. Знамо чем заканчивается. Пока не отработают ни ни",SBER
154,Созерцатель,"кто-то сливает перед закрытиемocean drive, ну ясное дело кто.",SBER
155,Петров,"Советник гендиректора концерна «Росэнергоатом» Ренат Карчаа заявил, что Киев запланировал атаку на Запорожскую АЭС в ночь на 5 июля.",SBER
156,Алексей Мамаев,"Алексей Мамаев, удалил терминал.Kopa Del Toro, мудрое решение)",SBER
157,Kopa Del Toro,"Kopa Del Toro, даже квик закрыл? или ищешь где купить?) мне так) тупо ) поржать)))))Алексей Мамаев, удалил терминал. И выехал из города",SBER
158,ocean drive,кто-то сливает перед закрытием,SBER
